Year,ACT,NSW,NT,Qld,SA,Tas,Vic,WA
1998,311026,6295260,192061,3393483,1482137,473982,4600872,1820812
1999,313466,6360552,195251,3442196,1489729,473189,4645152,1848303
2000,316731,6431826,198304,3497147,1496828,473303,4695560,1874371
2001,320526,6513844,200789,3556466,1502299,473662,4753725,1901295
2002,324187,6575296,201880,3631451,1510013,474218,4808940,1924935
2003,327083,6615712,201068,3723239,1518570,477576,4864214,1946831
2004,328560,6648280,202009,3810921,1526994,482778,4918070,1974145
2005,330916,6685875,204897,3896951,1536798,485755,4978342,2004644
2006,334299,6735528,208347,3987653,1550135,489140,5048207,2042450
2007,340544,6815359,212372,4084531,1567206,492625,5134074,2093633
2008,346477,6919907,217912,4191479,1584408,497552,5233000,2155552
2009,353351,7032423,223922,4305605,1604142,503431,5347672,2228317
2010,360361,7128356,228600,4387801,1624033,508182,5445172,2278589
2011,366737,7204737,230224,4457971,1636759,511248,5520378,2337611
2012,374604,7288938,233867,4546666,1652781,512075,5627656,2408155
2013,382384,7387765,241027,4634760,1668248,512542,5747760,2481428
2014,388664,7496039,243151,4708968,1684249,513873,5875688,2518457
2015,395240,7606633,243462,4770495,1699419,515089,6005096,2540711
2016,401971,7714413,244652,4832236,1710698,517010,6141300,2557572